Date	Value Rtn	MKT-RF	SMB	HML	RF	Rep_Portfolio_Return
199501	  2.97499083	  1.80	 -3.50	  2.57	0.42	  3.50653189
199502	  4.15324335	  3.63	 -0.66	  1.08	0.40	  4.24966992
199503	  2.63746834	  2.19	 -0.16	 -2.15	0.46	  1.81029289
199504	  3.45030716	  2.11	 -0.49	  1.71	0.44	  3.01623749
199505	  4.09063663	  2.90	 -2.55	  2.29	0.54	  4.39740853
199506	  1.58764770	  2.72	  3.18	 -2.54	0.47	  1.61354733
199507	  3.87626292	  3.72	  2.07	 -1.62	0.45	  3.03375175
199508	  0.82376095	  0.55	  1.35	  2.79	0.47	  1.58977183
199509	  3.45713309	  3.35	 -2.20	 -0.04	0.43	  3.91845720
199510	 -1.35766646	 -1.52	 -3.78	 -0.50	0.47	 -0.53631726
199511	  5.14790871	  3.96	 -1.09	  0.51	0.42	  4.47145822
199512	  2.24449247	  1.03	  0.70	  0.22	0.49	  1.34884400
199601	  3.21187813	  2.26	 -2.73	  0.38	0.43	  3.11261001
199602	  0.81667051	  1.33	  1.79	 -1.08	0.39	  0.93858843
199603	  1.79282900	  0.73	  1.49	  0.35	0.39	  0.88202889
199604	  1.45087760	  2.06	  5.23	 -4.02	0.46	  0.14570400
199605	  1.13709550	  2.36	  3.17	 -0.83	0.42	  1.78077489
199606	 -0.23794641	 -1.14	 -4.01	  2.35	0.40	  0.72019484
199607	 -4.45825645	 -5.97	 -4.31	  5.14	0.45	 -2.86587535
199608	  2.87314684	  2.77	  2.44	 -0.74	0.41	  2.31706225
199609	  4.10471821	  5.01	 -0.98	 -2.72	0.44	  4.42610102
199610	  3.55125358	  0.86	 -4.44	  4.94	0.42	  3.54158384
199611	  7.59371213	  6.25	 -4.02	  1.39	0.41	  7.42776488
199612	 -1.66291833	 -1.70	  3.16	  1.31	0.46	 -1.34359253
199701	  5.26553109	  4.99	 -1.95	 -1.42	0.45	  5.00306342
199702	  0.55296715	 -0.49	 -3.22	  5.67	0.39	  2.25786394
199703	 -3.44427483	 -5.03	 -0.36	  3.39	0.43	 -3.24366750
199704	  4.19954635	  4.04	 -5.77	  0.07	0.43	  5.23049440
199705	  5.78989763	  6.74	  5.19	 -4.13	0.49	  4.58002683
199706	  3.78714785	  4.10	  1.22	  1.58	0.37	  4.50230381
199707	  8.69702170	  7.33	 -2.74	  0.26	0.43	  7.88227858
199708	 -4.56343076	 -4.15	  7.28	  1.18	0.41	 -4.46973615
199709	  5.74730319	  5.35	  2.53	  0.37	0.44	  5.13025219
199710	 -2.37848098	 -3.80	 -0.73	  2.27	0.42	 -2.38195485
199711	  4.10810139	  2.98	 -5.12	  1.20	0.39	  4.44110712
199712	  2.50352451	  1.32	 -2.48	  3.84	0.48	  3.33397822
199801	 -1.05429054	  0.15	 -1.07	 -1.63	0.43	  0.17630252
199802	  6.66505705	  7.04	  0.32	 -0.85	0.39	  6.68215778
199803	  5.06257923	  4.76	 -1.14	  1.39	0.39	  5.49570796
199804	  2.14567094	  0.73	  0.07	  0.94	0.43	  1.35399372
199805	 -2.31364716	 -3.07	 -3.38	  3.44	0.40	 -0.86877295
199806	  0.96318595	  3.18	 -3.21	 -1.96	0.41	  3.29856479
199807	 -1.40291969	 -2.46	 -4.91	 -1.78	0.40	 -1.70265057
199808	-15.71292667	-16.08	 -5.69	  3.53	0.43	-12.74497780
199809	  5.49836497	  6.15	  0.09	 -3.42	0.46	  5.11242101
199810	  8.29056234	  7.13	 -3.12	 -2.23	0.32	  6.86293675
199811	  5.68083286	  6.10	  1.23	 -3.25	0.31	  4.79121691
199812	  2.84202753	  6.16	 -0.50	 -4.19	0.38	  4.90794700
199901	  2.53918123	  3.50	  0.75	 -4.60	0.35	  2.01040267
199902	 -0.80316482	 -4.08	 -6.08	  1.92	0.35	 -1.88760283
199903	  2.54617961	  3.45	 -3.80	 -2.74	0.43	  3.42382626
199904	  8.85849078	  4.33	  3.91	  2.46	0.37	  4.53433012
199905	 -1.76281946	 -2.46	  3.34	  2.35	0.34	 -1.86473316
199906	  2.82052934	  4.77	  3.10	 -3.19	0.40	  3.30137112
199907	 -2.72681177	 -3.49	  2.60	 -0.44	0.38	 -3.57496397
199908	 -3.23019259	 -1.38	 -0.94	 -1.87	0.39	 -1.40863434
199909	 -4.56919166	 -2.79	  3.41	 -3.49	0.39	 -4.02494490
199910	  5.66609204	  6.12	 -6.64	 -3.37	0.39	  6.21307354
199911	 -0.29059403	  3.37	  7.21	 -6.12	0.36	  0.28045469
199912	  2.06904036	  7.72	  7.03	 -8.33	0.44	  3.79412380
200001	 -3.04673825	 -4.74	  5.77	 -1.88	0.41	 -5.74999372
200002	 -6.56357116	  2.45	 21.36	 -9.59	0.43	 -4.11469624
200003	 10.46702748	  5.20	-17.20	  8.13	0.47	 10.95032098
200004	  0.29208809	 -6.40	 -6.68	  7.26	0.46	 -2.16973657
200005	  0.20278900	 -4.42	 -6.05	  4.75	0.50	 -1.17522382
200006	 -2.48294477	  4.64	 12.84	 -8.42	0.40	 -0.20245968
200007	  0.89673427	 -2.51	 -3.07	  8.31	0.48	  1.24363442
200008	  5.02020685	  7.03	 -0.61	 -1.39	0.50	  6.75626864
200009	 -0.51519716	 -5.45	 -1.82	  7.17	0.51	 -2.10227904
200010	  1.49814222	 -2.76	 -3.88	  5.71	0.56	  0.38077202
200011	 -5.92485535	-10.72	 -3.41	 12.30	0.51	 -5.17113152
200012	  4.17880095	  1.19	  0.73	  7.61	0.50	  3.88087554
200101	  1.87772173	  3.13	  6.68	 -5.07	0.54	  0.63870331
200102	 -4.94134964	-10.05	 -0.78	 12.47	0.38	 -5.05227695
200103	 -3.96165936	 -7.26	  0.25	  6.42	0.42	 -4.49821908
200104	  6.52673604	  7.94	  0.55	 -4.67	0.39	  6.26660968
200105	  1.37098688	  0.72	  2.50	  3.36	0.32	  1.60404764
200106	 -2.41845651	 -1.94	  6.24	 -1.12	0.28	 -3.04541514
200107	 -1.17210288	 -2.13	 -4.19	  5.21	0.30	  0.64646185
200108	 -6.02425859	 -6.46	  2.48	  2.31	0.31	 -5.54570407
200109	 -8.06390499	 -9.25	 -6.23	  1.45	0.28	 -6.97446784
200110	 -1.38367659	  2.46	  7.48	 -7.65	0.22	 -1.24249596
200111	  5.95726917	  7.54	 -0.47	  2.21	0.17	  8.08793238
200112	  0.90989970	  1.60	  4.74	  0.84	0.15	  1.09019341
200201	 -1.13761766	 -1.44	  1.19	  3.44	0.14	 -0.34517474
200202	 -3.31907451	 -2.29	 -1.01	  2.16	0.13	 -1.18772701
200203	  6.33990090	  4.24	  4.21	  1.06	0.13	  3.73888423
200204	 -5.31797263	 -5.20	  5.96	  3.88	0.15	 -4.59136929
200205	 -0.25805367	 -1.38	 -3.21	  1.53	0.14	 -0.13538336
200206	 -7.23394806	 -7.21	  4.29	 -0.05	0.13	 -7.48705328
200207	-10.18929857	 -8.18	 -5.28	 -3.85	0.15	 -7.94283190
200208	  0.42983299	  0.50	 -2.86	  3.28	0.14	  2.14875857
200209	-11.77275634	-10.35	  2.40	  1.47	0.14	 -9.63676538
200210	  8.62715191	  7.84	 -3.41	 -3.95	0.14	  6.87774981
